feature,importance
NET_RATING_DIFF_10,0.1979765
IS_HOME,0.16604376
WIN_PCT_DIFF_10,0.115559444
AWAY_NET_RATING_10,0.032594554
EFG_PCT_DIFF_10,0.03159692
NET_RATING_DIFF_5,0.030946208
HOME_NET_RATING_10,0.030485008
OFF_RATING_DIFF_10,0.030119443
DEF_RATING_DIFF_5,0.029949876
DEF_RATING_DIFF_10,0.029337969
AWAY_WIN_PCT_10,0.028877212
TOV_PCT_DIFF_10,0.02853057
TOV_PCT_DIFF_5,0.02837471
FTR_DIFF_5,0.028233495
OREB_DIFF_10,0.02796895
HOME_WIN_PCT_10,0.027776454
FTR_DIFF_10,0.027604798
OFF_RATING_DIFF_5,0.027349351
EFG_PCT_DIFF_5,0.027342383
WIN_PCT_DIFF_5,0.026735822
OREB_DIFF_5,0.026596643
